INTDES,NORAD_CAT_ID,INTLDES,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER,TLE,error
1977-092A,10365,1977-092A,PAYLOAD,EKRAN 2,CIS,1977-09-20,TTMTR,,1435.30,5.00,35916,35626,,,0,LARGE,9235,1977,92,A,Y,EKRAN 2,1977-092A,10365,"1 10365U 77092A   25237.75849557 -.00000080  00000-0  00000-0 0  9998
2 10365   4.9987 278.6034 0034500 356.4697  44.2575  1.00327220131892",
1988-040B,19122,1988-040B,ROCKET BODY,ARIANE 2 R/B,FR,1988-05-17,FRGUI,,605.64,7.53,34148,520,,,0,LARGE,9236,1988,40,B,Y,ARIANE 2 R/B,1988-040B,19122,"1 19122U 88040B   25237.60998898 -.00000153  00000-0 -32354-3 0  9992
2 19122   7.5339  42.0319 7090858 355.7245   0.3757  2.37765609267104",
1975-117A,8476,1975-117A,PAYLOAD,SATCOM 1,US,1975-12-13,AFETR,,1445.66,8.62,36043,35904,,,0,LARGE,9236,1975,117,A,Y,SATCOM 1,1975-117A,8476,,
1980-018A,11715,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
1979-053C,11436,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
1973-040B,11940,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
1991-075B,21766,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
1992-072B,22206,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
1975-123C,8515,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
2002-051B,27555,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
1982-093A,13554,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
1979-077A,11509,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
2007-003B,30324,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
1979-087A,11561,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
1980-057A,11871,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
1966-053J,2222,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
1967-066G,2868,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
1985-105A,16235,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
1992-041C,22032,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
1985-056B,15876,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
1979-101A,11635,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
1991-067A,21726,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
1975-118C,8516,,,,,,,,,,,,,,,,,,,,,,,,,You've violated your query rate limit.  Please refer to our Acceptable Use guidelines for further information on how to avoid this message in the future. ( https://www.space-track.org/documentation ) ( https://www.space-track.org/documentation )
